title,link
SonicWall.SMA100.CGI-BIN.CVE-2021-20034.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/52013
PrestaShop.Ebewe.City.Autocomplete.Module.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55099
Adobe.Flash.ASnative.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/25765
MS.IE.CSS.Expression.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/26511
OpenSMTPD.smtp_session.c.Command.Execution,https://www.fortiguard.com/encyclopedia/ips/48717
MS.IE.Deleted.DOM.Object.Access.Uninitialized.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/27890
MS.Windows.ATMFD.Kernel.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/40965
PTC.Thingworx.Edge.CVE-2023-0755.Out.Of.Bounds.Write,https://www.fortiguard.com/encyclopedia/ips/52672
Adobe.Flash.AVM2.intrf_count.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/17642
Apple.QuickTime.Movie.File.Color.Table.Atom.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/15238
H2O.Web.Server.Heap.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/46519
Adobe.Flash.removeTextField.Method.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/40922
Adobe.Flash.ActionScript.Constructprop.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/24004
Cisco.DCNM.TrustedClientTokenValidator.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/48696
MS.PowerPoint.Heap.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/24929
Mumblehard.Botnet,https://www.fortiguard.com/encyclopedia/ips/40507
CAF.File.DESC.Chunk.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/17378
APT34.Web.Shell,https://www.fortiguard.com/encyclopedia/ips/47800
Adobe.Acrobat.Image.Parsing.Input.Validation,https://www.fortiguard.com/encyclopedia/ips/25774
ProFTPD.mod_copy.Arbitrary.File.Copy.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/48217
PHP.Voxel.Dot.Net.CBMS.Multiple.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/10821
Badur.Botnet,https://www.fortiguard.com/encyclopedia/ips/41884
GitList.Unauthenticated.Search.Query.Remote.Command.Execution,https://www.fortiguard.com/encyclopedia/ips/46201
Wavlink.AC3000.internet.cgi.netmask.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57181
Adobe.Acrobat.XSLT.ForEachElem.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/43261
Gitea.Mirror.Repo.URL.Setting.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55678
Adobe.Photoshop.PCT.File.Parsing.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/46595
NUUO.NVR.Devices.Debugging.Center.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56256
Adobe.Acrobat.Message.Dispatch.Loop.JS.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/46065
Remexi.Botnet,https://www.fortiguard.com/encyclopedia/ips/41937
Brobot.Botnet,https://www.fortiguard.com/encyclopedia/ips/35372
HPE.IMC.Imcwlandm.SSID.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/44276
Rombertik.Botnet,https://www.fortiguard.com/encyclopedia/ips/40527
Oracle.Database.DBMS.Login.Trigger.AUTH_ALTER_SESSION.Bypass,https://www.fortiguard.com/encyclopedia/ips/14907
WordPress.The.Events.Calendar.order.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56691
TOTOLINK.A7100RU.cstecgi.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55806
HAProxy.h1_headers_to_hdr_list.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/52775
Cisco.Prime.LMS.Remote.Command.Execution,https://www.fortiguard.com/encyclopedia/ips/34478
Adobe.DNG.Converter.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/43354
MS.OpenType.Font.CMAP.Table.Parsing.Error,https://www.fortiguard.com/encyclopedia/ips/25266
SolarWinds.Orion.Local.File.Inclusion,https://www.fortiguard.com/encyclopedia/ips/49719
CRC32.SSH.NOOP,https://www.fortiguard.com/encyclopedia/ips/13124
MS.IE.SysFreeString.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/40084
MS.Edge.Scripting.Engine.CVE-2019-0644.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/47461
Adobe.Acrobat.newWrStreamToCosObj.Handling.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/46337
Andromeda.Botnet,https://www.fortiguard.com/encyclopedia/ips/35282
Adobe.Flash.Remote.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/26190
Adobe.Acrobat.JavaScript.DllCanUnloadNow.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/43228
Adobe.Flash.Bytearray.Double.Free,https://www.fortiguard.com/encyclopedia/ips/40016
MS.GDI+.Multiple.Run.Length.Zero.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/17818
BlackBerry.Application.Web.Loader.Load.ActiveX.Access,https://www.fortiguard.com/encyclopedia/ips/17263
Oracle.WebLogic.Server.CVE-2020-14756.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/49802
Apache.Solr.ConfigSets.baseConfigset.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/49655
Apple.QuickTime.RTSP.Response.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/15295
MS.Office.Out-of-Bounds.Array.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/39727
MS.Windows.Media.Library.ASF.File.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/15189
Adobe.Acrobat.JBIG2.Stream.Index.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/17271
Mazben.Botnet,https://www.fortiguard.com/encyclopedia/ips/29874
Adobe.Acrobat.JPEG.JP2C.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/27654
SAP.NetWeaver.AdIExecBlkConv.Message.Server.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/34811
MS.Windows.Insecure.Library.Loading.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/24217
MS.Excel.Record.Parsing.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/24578
Adobe.Shockwave.Director.RIFF.Record.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/24158
Oracle.JInitiator.ActiveX.Control.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/14927
Gootkit.Botnet,https://www.fortiguard.com/encyclopedia/ips/25552
Adobe.Acrobat.CVE-2019-7060.Out-of-Bounds.Write,https://www.fortiguard.com/encyclopedia/ips/47497
Adobe.Acrobat.AcroForm.Mutation.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/42469
ManageEngine.ServiceDesk.CVE-2021-37415.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/51004
Adobe.Flash.JPEG.SOS.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/39586
Adobe.Acrobat.XSLT.ForEachElem.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/43250
MS.PowerPoint.Malformed.NamedShows.Record.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/13590
MS.Windows.DHCP.Client.Option.Handling.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/47350
Adobe.Acrobat.Optional.Content.Group.layer.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/42458
MS.IE.MutationEvents.Handling.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/37038
Veritas.Backup.Exec.Agent.Browser.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/12485
Adobe.Acrobat.CVE-2019-7084.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/47522
Oracle.WebLogic.Server.CVE-2020-14882.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/49590
Qvod.Player.Url.ActiveX.Control.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/15358
Realtek.eCOS.SDK.CVE-2022-27255.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/52012
Dahua.Products.Loopback.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56500
Adobe.Flash.Embedded.Sound.Handling.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/39602
Autonomy.KeyView.Module.Excel.File.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/17856
PTZOptics.PT30X.param.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56827
ABUS.TVIP.Cameras.Admin.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56723
RealNetworks.Products.Remote.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/15123
MS.IE.Object.Parsing.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/36270
MS.IE.CTreePos.Object.Handling.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/40094
MS.Windows.OLE.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/40978
SolarWinds.NPM.FromJson.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/50562
MIT.Kerberos.KAdminD.Server.RPC.Type.Conversion.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/14861
MS.IE.Range.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/41132
ProLink.PRC2402M.Set_TR069.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56034
OpenBSD.IPv6.Fragment.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/17560
Adobe.Flash.MessageChannel.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/40114
Adobe.Flash.Array.Sort.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/41076
Trend.Micro.InterScan.WS.VA.DecryptPasswd.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/49746
ManageEngine.NCM.ping.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/51085
Onion.Botnet,https://www.fortiguard.com/encyclopedia/ips/42241
Centreon.DisplayServiceStatus.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/39473
Adobe.Flash.TextField.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/40918
WPS.Office.Wpsio.DLL.Stack.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/35319
MS.Office.Excel.Type.Confusion.Memory.Corruption,https://www.fortiguard.com/encyclopedia/ips/43494
