title,link
MS.Edge.Flash.Click2Play.Handling.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/47614
ManageEngine.ServiceDesk.Plus.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/40168
Adobe.Acrobat.HTML2PDF.Element.Style.Out-of-Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/46385
raSMP.Index.PHP.User.Agent.XSS,https://www.fortiguard.com/encyclopedia/ips/29825
LG.LED.Assistant.thumbnail.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/55441
WordPress.WooCommerce.Plugin.Order.Notes.XSS,https://www.fortiguard.com/encyclopedia/ips/40274
i-FTP.Schedule.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/39900
Autodesk.AutoCAD.Insecure.Library.Loading,https://www.fortiguard.com/encyclopedia/ips/38295
LiveZilla.LiveZillaServer.Export.CSV.Injection,https://www.fortiguard.com/encyclopedia/ips/48127
Axis.Camera.view.shtml.XSS,https://www.fortiguard.com/encyclopedia/ips/55819
Apache.mod_proxy.Reverse.Proxy.Exposure,https://www.fortiguard.com/encyclopedia/ips/29620
Foxit.Reader.Insecure.Library.Loading.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/33935
MS.Windows.Graphics.CVE-2018-8239.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/46297
Pegasus.Imaging.ThumbnailXpress.ActiveX.File.Deletion,https://www.fortiguard.com/encyclopedia/ips/15039
Schneider.Electric.Smart-UPS.SRT.5000.ulsogact1.XSS,https://www.fortiguard.com/encyclopedia/ips/50490
MS.Edge.Windows.Data.Pdf.DLL.Parsing.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/42611
MS.GDI.CVE-2019-0882.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/47841
PHP.Libmagic.Portable.Executable.Out-of-Bounds.Memory.Access,https://www.fortiguard.com/encyclopedia/ips/38222
MDaemon.Mail.Server.EasyBee.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/44048
Exim.Verification.Header.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/13335
Mozilla.Thunderbird.WYSIWIG.Engine.IFRAME.JavaScript.Execution,https://www.fortiguard.com/encyclopedia/ips/29161
MS.SMB.PIPE.DoS,https://www.fortiguard.com/encyclopedia/ips/12127
Adobe.Acrobat.ActiveX.LoadFile.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/14672
SolarWinds.Orion.Pepco32c.ActiveX.Control.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/37240
Juniper.Networks.Junos.OS.J-Web.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/53595
Apache.Tomcat.Directory.Listing.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/13268
GE.0day.40033,https://www.fortiguard.com/encyclopedia/ips/40033
Joomla!.Proclaim.Extension.Upload.CSRF,https://www.fortiguard.com/encyclopedia/ips/45947
